"sessiontitle","day","time","contenttrack","type","speakers","speakerpics","moderator-facilitator","venue"
"Innovating for the Future: Are we ready? ",""Day 2 - Saturday, 7 Jan"","13:05","World View","Panel Discussion","Khuram Rahat, Senior Country Director - Unifonic, AVM (R) Dr. Rizwan Riaz, Pro-Rector Research, Innovation &amp; Commercialization (RIC)  - NUST, Parvez Iftikhar, International ICT Consultant - Self Employed","Khuram Rahat.png (https://dl.airtable.com/.attachments/613026838f9b7b45e71da7bd3b93784c/080fba09/KhuramRahat.png),AVM (R) Dr. Rizwan Riaz.png (https://dl.airtable.com/.attachments/b22e188379745bc4753a97bc4bca7beb/dc4f8959/AVMRDr.RizwanRiaz.png),Parvez Iftikhar.png (https://dl.airtable.com/.attachments/1e8ba18f060a0b935e2a1cd07afe242b/45e45249/ParvezIftikhar.png)","Syed Abdul Qadir, Executive Director - IT &amp; Cybersecurity Risk - A.F.Ferguson &amp; Co.(PwC Pakistan)","Pheonix Auditorium @Convention"
"Keynote: Usman Asif ",""Day 2 - Saturday, 7 Jan"","13:40","World View","Keynote","Usman Asif, CEO  - DevsInc","Usman Asif.png (https://dl.airtable.com/.attachments/500e99d279d904eb495a01cd4c4c5ade/5f89be9f/UsmanAsif.png)","","Pheonix Auditorium @Convention"
"Fireside Chat: Topic TBD",""Day 2 - Saturday, 7 Jan"","14:00","World View","Fireside Chat","Krinza Momin, Developer Relations Engineer - Ankr, Jibran Tahir, Founder &amp; CEO - Manifest Studios","Krinza Momin.png (https://dl.airtable.com/.attachments/8a601f02695fb06a4820f70160907c59/ed0ebc21/KrinzaMomin.png),Jibran Tahir.png (https://dl.airtable.com/.attachments/57ced4da17ad93b5cb2bf6fe0b84da80/99578c30/JibranTahir.png)","","Pheonix Auditorium @Convention"
"Keynote",""Day 2 - Saturday, 7 Jan"","14:10","World View","Keynote","Shahbaz Ali Taseer, Director - First Capital Group","Shahbaz Ali Taseer.png (https://dl.airtable.com/.attachments/9403cfb29ca703f5fbba7d377b5b979b/71ee0458/ShahbazAliTaseer.png)","","Pheonix Auditorium @Convention"
"Keynote: Sadaffe Abid",""Day 2 - Saturday, 7 Jan"","14:20","World View","Keynote","Sadaffe Abid, CEO - Circle Women","Sadaffe Abid.png (https://dl.airtable.com/.attachments/95b252f21f8ab33af71c665b3b3948c9/e89233ac/SadaffeAbid.png)","","Pheonix Auditorium @Convention"
"Opening Keynote: Every digital platform will become a finance platform",""Day 2 - Saturday, 7 Jan"","14:30","Financial Revolution","Keynote","Naeem Zamindar, Founder - Neem","Naeem Zamindar.png (https://dl.airtable.com/.attachments/e1d6db7a9cc1cb35463523224ec6df9f/496b009f/NaeemZamindar.png)","","Pheonix Auditorium @Convention"
"Beyond Borders: The Future of Business and Policies ",""Day 2 - Saturday, 7 Jan"","14:45","Financial Revolution","Panel Discussion","Abdullah AlDayel, CEO &amp; Founder - Qoyod, Muhammad Usman, Country Representative for Pakistan - German Emirati Joint Council for Industry &amp; Commerce (AHK), Meena M. Khan, Head of Products - Zindigi, Zainab Samantash, Head of Legal Affairs &amp; Company Secretary - Sadapay, Abdulaziz Alshetwi, Co-founder &amp; CEO  - Moyasar Financial Company","Abdullah AlDayel.png (https://dl.airtable.com/.attachments/8ad551910534b353bd36664108c927b6/55e9def8/AbdullahAlDayel.png),Muhammad Usman.png (https://dl.airtable.com/.attachments/c49f21aab1c45b78604aa030165e5daf/9b059674/MuhammadUsman.png),Meena Munawar Khan.png (https://dl.airtable.com/.attachments/b931c63155b2cb190d6b10461cfa11e7/4a93af49/MeenaMunawarKhan.png),Zainab Samantash.png (https://dl.airtable.com/.attachments/7590148bf74424db0390005eebec4f31/1feb9ce3/ZainabSamantash.png),Abdulaziz Alshetwi.png (https://dl.airtable.com/.attachments/caa730702c054b9d48f116f844cacc93/69f469e0/AbdulazizAlshetwi.png)","Warda Malik, Communications Manager - Lean Technologies","Pheonix Auditorium @Convention"
"Future of financial inclusion:  challenges and opportunities for Pakistan",""Day 2 - Saturday, 7 Jan"","15:15","Financial Revolution","Keynote","Sardar Mohammad Abubakar, SEVP/Chief Finance &amp; Digital Officer - Mobilink Bank, VEON Group","","","Pheonix Auditorium @Convention"
"Financial Inclusion is just the beginning: What's next? ",""Day 2 - Saturday, 7 Jan"","15:30","Financial Revolution","Panel Discussion","Saira Faisal, Country Lead Digital Transformation Pakistan, GSMA - GSMA, Shahbano  Hameed, Chief Executive Officer - Prosper Technology, Zain Farooq, Founder &amp; CEO - MyTM, Owais Zaidi, CEO - Credit Per, Fatima Batool, Founder &amp; CEO - Ez Wage","Saira Faisal.png (https://dl.airtable.com/.attachments/746396f3496e521ae020fccc71bdcf7f/2aac16a9/SairaFaisal.png),Shahbano  Hameed.png (https://dl.airtable.com/.attachments/4ec73445f5f1ff92903314d6c7add1a6/2735478a/ShahbanoHameed.png),Zain Farooq.png (https://dl.airtable.com/.attachments/d94d1d2946aee29fda6ffa8a4bf7f1ae/ed73ac49/ZainFarooq.png),Owais Zaidi.png (https://dl.airtable.com/.attachments/9009a6cb4ee140e7890486d95ae5cbf0/b47929cd/OwaisZaidi.png),Fatima Batool.png (https://dl.airtable.com/.attachments/69a531df015137ff6342e34dac0629c8/d214b92b/FatimaBatool.png)","Ariba Shahid, Financial and Tech journalist - Profit Magazine","Pheonix Auditorium @Convention"
"The Future of Digital Insurance  ",""Day 2 - Saturday, 7 Jan"","16:05","Financial Revolution","Fireside Chat","Syed Nayyar Hussain Zaidi, Executive Director Strategy &amp; New Initiatives - Salaam Takaful Limited, Muhammad Ashfaq-Ur-Rehman, Founder &amp; CEO - Finmaal, Sharene Lee, Cofounder - Takadao","Syed Nayyar Hussain.png (https://dl.airtable.com/.attachments/ba890f14723ad5f0f00f3fdc94c8cd9b/73d77339/SyedNayyarHussain.png),Muhammad Ashfaq-Ur-Rehman.png (https://dl.airtable.com/.attachments/360a702d8959ecf77a609234991961b7/e3ab6dcd/MuhammadAshfaq-Ur-Rehman.png),Sharene Lee.png (https://dl.airtable.com/.attachments/2ec76f3f60e606be9f7960db1efb8672/801dc298/ShareneLee.png)","Muhammad Salman Anjum, CEO - InvoiceMate","Pheonix Auditorium @Convention"
"Keynote",""Day 2 - Saturday, 7 Jan"","16:30","Financial Revolution","","Wael Abdulmoty Mohammedhussain, Chief Operating Officer - Hala Payments","Wael Abdulmoty Mohammedhussain.png (https://dl.airtable.com/.attachments/6aea15541ef9d60bde4fa1e09b3c47e7/78e113e1/WaelAbdulmotyMohammedhussain.png)","","Pheonix Auditorium @Convention"
"Evolution from First-mile to Last-mile Delivery ",""Day 2 - Saturday, 7 Jan"","17:00","Ecommerce","Panel Discussion","Salman Allana, CEO - Rider, Muhammad Sumair, Cheif Executive Officer - RGS Logistics, Muhammad Saad Jangda, CEO - INDOLJ, Muhammad Salman Parekh, Founder - Manto Store / Maansal Digital Solutions","Salman Allana.png (https://dl.airtable.com/.attachments/f376b4eb7fe2cfda03774c0c00ee38d7/59b215ea/SalmanAllana.png),Muhammad Sumair.png (https://dl.airtable.com/.attachments/519b43d72bd9b66077d64a9b4b71bef8/65727232/MuhammadSumair.png),Muhammad Saad Jangda.png (https://dl.airtable.com/.attachments/9269ed56ddb2bc08337e8e91d6fd14c5/bb31fd70/MuhammadSaadJangda.png)","Muhammad Ali Qureshi, Head of sales Punjab south - Trax Online Private Limited","Pheonix Auditorium @Convention"
"The Power of Community: How Ecommerce Brands can harness the Passion and Influence of Online Communities?",""Day 2 - Saturday, 7 Jan"","17:35","Ecommerce","Keynote","Saqib Azhar, CEO - Enablers","Saqib Azhar.png (https://dl.airtable.com/.attachments/d566101beb4d90faa035b7db0910dc9b/13d79a99/SaqibAzhar.png)","","Pheonix Auditorium @Convention"
"The Future of E-commerce ",""Day 2 - Saturday, 7 Jan"","17:45","Ecommerce","Panel Discussion","Salman Butt, Co-founder, Chief Research Innovations Officer  - Salla Holding Limited, Hasan Jabarti, CEO - DIGGIPACKS, Muhammad Hassan Khan, Chief Executive Officer - Trax Online Private Limited, Obaid Arshad, CEO/Co-founder - Ginkgo Retail","Salman Butt.png (https://dl.airtable.com/.attachments/263866d0a3c41b0b4cd9db4a4cd2f407/da56bdc1/SalmanButt.png),Hasan Jabarti.png (https://dl.airtable.com/.attachments/27630549750f97b98ee4d6daf2efe7df/e246590a/HasanJabarti.png),Muhammad Hassan Khan.png (https://dl.airtable.com/.attachments/082569915ee8a56e25763896eb0af51b/bc0ec53e/MuhammadHassanKhan.png),Obaid Arshad.png (https://dl.airtable.com/.attachments/f247bf78479b7cb177e4d3530305db96/36c117e9/ObaidArshad.png)","","Pheonix Auditorium @Convention"
"Opening Keynote",""Day 2 - Saturday, 7 Jan"","18:20","eSports","Keynote","Khawar Naeem, Country Head - Tencent","","","Pheonix Auditorium @Convention"
"Challenges and Daily Struggles of Professional Esports Players in Pakistan ",""Day 2 - Saturday, 7 Jan"","18:30","eSports","Panel Discussion","","","Imran Khan, CEO - Raptr Games","Pheonix Auditorium @Convention"
"Casters of different games will talk about their journey and what made them choose this career",""Day 2 - Saturday, 7 Jan"","19:00","eSports","Fireside Chat","","Muhammad Ali Dowdy.png (https://dl.airtable.com/.attachments/5bd05ad9ed75cf8b205e10c4514730ff/c0bf6988/MuhammadAliDowdy.png),Shaneel Malik.png (https://dl.airtable.com/.attachments/8e267ffc6a0494620bd84e4603064260/2a135313/ShaneelMalik.png)","","Pheonix Auditorium @Convention"
"Future of Esports in Pakistan and how Telcos are reshaping the Esports Industry",""Day 2 - Saturday, 7 Jan"","19:20","eSports","Panel Discussion","Rabia Fatima, Senior Manager- Regional Play, Subscriber Acquisition &amp; Partnerships - Ufone","Rabia Fatima.png (https://dl.airtable.com/.attachments/d3bd565c97d92a29f0c9b14b6ed66837/01bb906a/RabiaFatima.png)","Khawar Naeem, Country Head - Tencent","Pheonix Auditorium @Convention"
"The art of storytelling with Tabla ",""Day 2 - Saturday, 7 Jan"","19:50","Performance","Performance","","","","Pheonix Auditorium @Convention"
"VFX in Pakistan - Hamza Bajwa (Maula Jatt) live projection experience ",""Day 2 - Saturday, 7 Jan"","20:20","Performance","Performance","","","","Pheonix Auditorium @Convention"
"Amna Butt - live painting paired with classical music",""Day 2 - Saturday, 7 Jan"","20:50","Performance","Performance","","","","Pheonix Auditorium @Convention"
"Opening Keynote: Why EdTech needs more Founders, Funding and Failures",""Day 2 - Saturday, 7 Jan"","11:00","Education ","Keynote","Hassan  Rizwan, Founder / CEO - SABAQ","Hassan  Rizwan.png (https://dl.airtable.com/.attachments/716d26bc0e26cc65d2553f9c9b42bbe8/9ebec3e4/HassanRizwan.png)","","Orion Auditorium @Convention"
"Is there a Pathway to Impact and Success for Edtech in Pakistan",""Day 2 - Saturday, 7 Jan"","11:15","Education ","Panel Discussion","Aiman Bashir, Founder - Out-Class , Sabeena Abbasi, Chief Digital Learning Officer  - Taleemabad , Haroon Yasin, Founder &amp; CEO - Taleemabad, Zulfiqar Ali Qazilbash, Ed tech advisor  - Mofept ","Aiman Bashir.png (https://dl.airtable.com/.attachments/e0953b270840d2decfcee75c638536fd/444a6520/AimanBashir.png),Haroon Yasin.png (https://dl.airtable.com/.attachments/2b7d2f2111385ad4c237c6b23099a8c5/b0d89eb5/HaroonYasin.png),Zulfiqar Ali Qazilbash.png (https://dl.airtable.com/.attachments/206b8d90da19e29125e3bf921dab98fd/79a10fdf/ZulfiqarAliQazilbash.png)","Ammar Ali Ayub, CEO - Nearpeer","Orion Auditorium @Convention"
"Can Tech Upskill the Pakistani Youth?",""Day 2 - Saturday, 7 Jan"","11:50","Education ","Panel Discussion","Namra Nasyr, COO/ Head of Creative Strategy - Skills Todo/ Devsinc, Shahrukh Swati, Co-founder  - Nearpeer ","Namra Nasyr.png (https://dl.airtable.com/.attachments/e271967c0ea710cf54c07805bd259c02/98250e1f/NamraNasyr.png),Shahrukh Swati.png (https://dl.airtable.com/.attachments/050517b63d49b90b598158d34aaa5d04/38942595/ShahrukhSwati.png)","","Orion Auditorium @Convention"
"New Technologies &amp; Future of Education",""Day 2 - Saturday, 7 Jan"","12:25","Education ","Panel Discussion","Khalid Abou Kassem, Founder &amp; CEO - AlGooru, Aziz Alsaeed, Co-Founder &amp; COO - Noon Academy, Jin Tan, CEO - ReSkills","Khalid Abou Kassem.png (https://dl.airtable.com/.attachments/264254f28ae1b461b27f8a356299bf4f/cb8c24e6/KhalidAbouKassem.png),Aziz Alsaeed.png (https://dl.airtable.com/.attachments/da732b7a4a08c3428822f0d7f58cd2e2/ac9b2c69/AzizAlsaeed.png)","Hassan  Rizwan, Founder / CEO - SABAQ","Orion Auditorium @Convention"
"Unlocking the EdTech Genie in Pakistan / The Devices Challenge in EdTech",""Day 2 - Saturday, 7 Jan"","13:00","Education ","Keynote","","","","Orion Auditorium @Convention"
"The Future of Learning ",""Day 2 - Saturday, 7 Jan"","13:15","Education ","Panel Discussion","Annum Sadiq, Chief Education Officer &amp; Director  - Edkasa (Private) Limtied, Haroon Yasin, Founder &amp; CEO - Taleemabad, Ali Khayam, Country Director  - Right To Play International, Maliha Javed Khan, Director Learning and Development - P@SHA","Annum Sadiq.png (https://dl.airtable.com/.attachments/8f9384f1232336f25c62e80730de6b81/4f2d543c/AnnumSadiq.png),Haroon Yasin.png (https://dl.airtable.com/.attachments/2b7d2f2111385ad4c237c6b23099a8c5/b0d89eb5/HaroonYasin.png),Ali Khayam.png (https://dl.airtable.com/.attachments/0f0f7c42bb3dfb80c1a2df9761136ebd/b7053404/AliKhayam.png),Maliha Javed Khan.png (https://dl.airtable.com/.attachments/b0f28401ce18dc1044eca00eb5f8e00b/c7f0af00/MalihaJavedKhan.png)","Syed Azfar Hussain, Project Director - National Incubation Center Hyderabad","Orion Auditorium @Convention"
"Opening Keynote: Pakistan’s Agriculture: Challenges &amp; Opportunities",""Day 2 - Saturday, 7 Jan"","13:55","Agriculture &amp; Food","Keynote","Habib Saqib, Founder, Head of Business - FasalPay","Habib Saqib.png (https://dl.airtable.com/.attachments/ad94dbe29d0b6f9eaa41cea7b396c7a4/6064f27e/HabibSaqib.png)","","Orion Auditorium @Convention"
"Improving Farmers’ Unit Economics",""Day 2 - Saturday, 7 Jan"","14:10","Agriculture &amp; Food","Panel Discussion","Ali Amin, Co-Founder  - Jiye Technologies , Fouad Riaz Bajwa, CEO and Co-Founder - Digital Dera Private Limited by Agriculture Republic Pakistan, Farhan Tahir, Co-Founder / Director  - Kissan Gudam / Haji Sons group ","Ali Amin.png (https://dl.airtable.com/.attachments/105a0b657a4af6c7adead6db479ba75a/e9b98523/AliAmin.png),Fouad Riaz Bajwa.png (https://dl.airtable.com/.attachments/5b547dd234a17c6e1617688f86478320/44d6493d/FouadRiazBajwa.png),Farhan Tahir.png (https://dl.airtable.com/.attachments/b222aff9b28ab683954f6ff1e9feecb1/5447b4ff/FarhanTahir.png)","","Orion Auditorium @Convention"
"Keynote by Provincial Minister of Punjab for Livestock and Dairy Development",""Day 2 - Saturday, 7 Jan"","14:30","Agriculture &amp; Food","","","","","Orion Auditorium @Convention"
"Web3 and law (IP, COO, NFTS): What Pakistan's regulators and legislators can learn from global legal frameworks",""Day 2 - Saturday, 7 Jan"","14:40","Regulatory &amp; Taxation","Fireside Chat","Iqra Musaddaq, Director Licensing, Legal &amp; Contracts - Special Technology Zones Authority, Safi Ghauri, Managing Partner - Esquare Legal","Iqra Musaddaq.png (https://dl.airtable.com/.attachments/8e31e90c423fcf6aebc1a8d2fcc90add/e7acc10d/IqraMusaddaq.png),Safi Ghauri.png (https://dl.airtable.com/.attachments/2bce6aebc41ec7219adb41799c1ef546/4b8d4f2c/SafiGhauri.png)","Muhammad Usman Piracha, Managing Partner - Pirachas","Orion Auditorium @Convention"
"Transforming Agriculture: Separating Myths from Reality",""Day 2 - Saturday, 7 Jan"","14:45","Agriculture &amp; Food","Fireside Chat","Mohsin Zaka, Co-Founder - Tazah Technologies","","Habib Saqib, Founder, Head of Business - FasalPay","Orion Auditorium @Convention"
"Keynote: Ahsan Tahir ",""Day 2 - Saturday, 7 Jan"","15:05","Marketing &amp; Advertisement","Keynote","Muhammad Ahsan Tahir , Chief Executive Officer  - Walee Technologies Pvt Ltd","Muhammad Ahsan Tahir.png (https://dl.airtable.com/.attachments/2ca95ef475f2595daba3659a5c3f2da0/36a902a7/MuhammadAhsanTahir.png)","","Orion Auditorium @Convention"
"Closing Keynote by Punjab Finance Minister (Agri Expert)",""Day 2 - Saturday, 7 Jan"","15:15","Agriculture &amp; Food","","Muhammad Mohsin Khan Leghari, Provincial minister of Finance, Punjab - Government Ministry","","","Orion Auditorium @Convention"
"Creator DTC – Is the Path to Financial Success still via Brand Deals?",""Day 2 - Saturday, 7 Jan"","15:20","Marketing &amp; Advertisement","Panel Discussion","Muhammad Salman Parekh, Founder - Manto Store / Maansal Digital Solutions, Urooj Fatima, Dentist - Dental and orthodontics solutions , Syed Muzamil Hasan Zaidi, Director - One8nine, Shaikh Danial, CEO/CO-FOUNDER - MindKix Labs / Social Junction Pvt Ltd.","Syed Muzamil Hasan Zaidi.png (https://dl.airtable.com/.attachments/88d9dc1a587c6b1dac0d6829f9f88383/1b6d54aa/SyedMuzamilHasanZaidi.png)","Syed Sohaib ul Hassan, Senior Manager Marketing - Amreli Steels Limited ","Orion Auditorium @Convention"
"Brand Building for the Future: How Performance Marketing will Change
",""Day 2 - Saturday, 7 Jan"","16:20","Marketing &amp; Advertisement","Panel Discussion","Usman Ahmed Aziz, CEO - Shopistan , Rubab Zahra Naqvi, Digital Marketing Manager - Educative Inc, Fawaad Saleem , CEO - Digital Tribe, Ifrah Ayoob, Digital Marketing Trainer and Performance Marketing Manager  - Nearpeer.org and Rozee.pk","Usman Ahmed Aziz.png (https://dl.airtable.com/.attachments/c9cfaf8eadffe6011ff58ec98b9e9ebc/e1061fdf/UsmanAhmedAziz.png),Rubab Zahra Naqvo.png (https://dl.airtable.com/.attachments/0714ee670329b55fe5b6680feb6598f6/c3efb6fc/RubabZahraNaqvo.png),Fawaad Saleem.png (https://dl.airtable.com/.attachments/55c7f77adcf277ec732facc2ffcb5bee/6a76c481/FawaadSaleem.png),Umair Arshad.png (https://dl.airtable.com/.attachments/aa7556b8ccdd20d4b05aeedb2436ea5e/514b5d6a/UmairArshad.png),Ifrah Ayoob.png (https://dl.airtable.com/.attachments/de5278304939da6f70b448241defa06e/c3932e10/IfrahAyoob.png)","","Orion Auditorium @Convention"
"Storytelling for GenZ ",""Day 2 - Saturday, 7 Jan"","16:55","Marketing &amp; Advertisement","Panel Discussion","Shayan Mahmud, Managing partner  - Eikon7/ProPakistani , Salman Nasir, Assistant Professor - School of Social Sciences &amp; Humanities (S3H), National University of Sciences &amp; Technology (NUST), Hassan Waqar Bhatti, Partner - Community Fund  , Laiha Tauseef, Marketing Lead - Game District","Shayan Mahmud.png (https://dl.airtable.com/.attachments/0ac607fec117ab613c43f8ed6a730f16/e4305a56/ShayanMahmud.png),Salman Nasir.png (https://dl.airtable.com/.attachments/339c70b759dfcbdba5df832a4de37c77/7ac231ea/SalmanNasir.png),Hassan Waqar Bhatti.png (https://dl.airtable.com/.attachments/e3a015fba752e1ecf9aecfaa6a315e68/0dd8bd01/HassanWaqarBhatti.png),Laiha Tauseef.png (https://dl.airtable.com/.attachments/2f21995ce89740401c7acfbb848f7914/23b7af32/LaihaTauseef.png)","","Orion Auditorium @Convention"
"Roadmap for Successful Seven Figure Agency Business ",""Day 2 - Saturday, 7 Jan"","17:30","Marketing &amp; Advertisement","Fireside Chat","Hamid Mahmood, CEO - Software Pro , Muhammad Yawar Siddiqui, CFO - Repstack.co","Hamid Mahmood.png (https://dl.airtable.com/.attachments/e6f24c11d7a2e01dcca8e242c554ac81/f90abe25/HamidMahmood.png)","Shehab Niazi , Founder  - Trailblazer","Orion Auditorium @Convention"
"Track Overview by Curator ",""Day 2 - Saturday, 7 Jan"","17:55","Regulatory &amp; Taxation","Keynote","Mustafa A. Khan, Managing Partner - MK Consulting","","","Orion Auditorium @Convention"
"Opening Keynote: Legal framework impacting technology sector in Pakistan",""Day 2 - Saturday, 7 Jan"","18:00","Regulatory &amp; Taxation","Keynote","Ahmed Uzair, Partner - AUC | LAW","Ahmed Uzair.png (https://dl.airtable.com/.attachments/24f8c6255fe00f2c629cedd7d9dd5b81/8b799148/AhmedUzair.png)","","Orion Auditorium @Convention"
"Legal Bottlenecks for Startups and the IT Sector",""Day 2 - Saturday, 7 Jan"","18:15","Regulatory &amp; Taxation","Panel Discussion","Mehr Saleem , Partner  - Saleem &amp; Mamdot (Lawyers &amp; Consultants), Khurram Zafar, Country Director  - 47 Ventures Investments , Amina Aziz, Director/Convenor Regulatory Sandbox Committee - Securities and Exchange Commission of Pakistan","Mehr Saleem.png (https://dl.airtable.com/.attachments/51c2bb69c4467fdc5f427479a631f697/b629d8de/MehrSaleem.png),Khurram Zafar.png (https://dl.airtable.com/.attachments/89ba82639684e85465ddf938ee12ded8/4762395b/KhurramZafar.png),Amina Aziz.png (https://dl.airtable.com/.attachments/82ccb2c28601a88e2150061853770c54/d759ed55/AminaAziz.png)","Mubariz Siddiqui, Founder - Carbon Law","Orion Auditorium @Convention"
"Setting up a Holding Company outside Pakistan - Key Considerations",""Day 2 - Saturday, 7 Jan"","18:45","Regulatory &amp; Taxation","Fireside Chat","Mohtashim Ahmad Siddiqi, Partner - Barsols Legal Consultants","Mohtashim Ahmad Siddiqi.png (https://dl.airtable.com/.attachments/0a06ffebd474b2d52c3e52fb3c36f36f/ab7ebf4c/MohtashimAhmadSiddiqi.png)","Barrister Khalique Zaman, Partner - Barsols Legal Consultants ","Orion Auditorium @Convention"
